Artista,Biografia,Listeners,Playcount,Artistas Similares
Brett Eldredge,"Some life-changing moments are only apparent in retrospect. Brett Eldredge recognized his as it was happening.

The Paris, IL, native was visiting Nashville for the first time early in his sophomore year at Chicago's Elmhurst College. He was at the Station Inn, an historic bluegrass/country venue where many of the greats of both worlds have played. His cousin Terry, a veteran of Dolly Parton's band and now a member of the Grascals, was playing with a band called the Sidemen, and a mesmerized Brett was in the crowd. <a href=""https://www.last.fm/music/Brett+Eldredge"">Read more on Last.fm</a>",420789,3536119,Chris Young
Willie Nelson,"Willie Hugh Nelson (born April 29, 1933) is an American musician, actor, and activist. The critical success of the album Shotgun Willie (1973), combined with the critical and commercial success of Red Headed Stranger (1975) and Stardust (1978), made Nelson one of the most recognized artists in country music. He was one of the main figures of outlaw country, a subgenre of country music that developed in the late 1960s as a reaction to the conservative restrictions of the Nashville sound. <a href=""https://www.last.fm/music/Willie+Nelson"">Read more on Last.fm</a>",1382273,20321237,Merle Haggard
Bee Gees,"The Bee Gees, originally made up of three brothers: Barry Gibb, Robin Gibb (died 2012), and Maurice Gibb (died 2003), have been successful for most of their 40-plus years of recording music. They had two distinct periods of exceptional success: as a pop act in the late 1960s and early 1970s, and as a foremost act of the disco music era in the late 1970s.

The Gibb brothers were born on the Isle of Man, UK to English parents in 1946 (Barry Alan Crompton Gibb <a href=""https://www.last.fm/music/Bee+Gees"">Read more on Last.fm</a>",2844495,51796744,Robin Gibb
The Neighbourhood,"The Neighbourhood is an American alternative rock/dark pop band that formed in Newbury Park, California, USA in August 2011. The band consists of Jesse Rutherford, Jeremy Freedman, Zach Abels, and Mikey Margott. Brandon Fried (drums) was kicked out of the band on November 15 2022 after groping allegations. Bryan Sammis (drums) left the group in January 2014.

The band released their first EP, I'm Sorry... in January 2013, where their single Sweater Weather reached #1 in the U. <a href=""https://www.last.fm/music/The+Neighbourhood"">Read more on Last.fm</a>",3022860,256282427,Jesse®
Stage Kids,"Friends from high school, Stage Kids are a group of relatively young musicians hailing from North San Diego, carrying with them a barrage of genres formed into an incandescent whole. <a href=""https://www.last.fm/music/Stage+Kids"">Read more on Last.fm</a>",82222,755322,Dios Trio
Bring Me the Horizon,"Bring Me the Horizon, often known by the acronym BMTH, is a British deathcore/metalcore/alternative metal band formed in 2004 in Sheffield, South Yorkshire, by vocalist Oliver Sykes, drummer Matt Nicholls, bassist Matt Kean and guitarists Lee Malia and Curtis Ward.

The current lineup of the band consists of: Oliver ""Oli"" Sykes (lead vocals, keyboards and programming), Matt Nicholls (drums), Lee Malia (lead and rythm guitar), Matt Kean (bass) and touring member John Jones (rythm guitar and backing vocals). <a href=""https://www.last.fm/music/Bring+Me+the+Horizon"">Read more on Last.fm</a>",2256894,228406587,Bad Omens
Nothing But Thieves,"Nothing But Thieves is an English alternative rock band, formed in 2012 in Southend-on-Sea, Essex. They consist of lead vocalist and guitarist Conor Mason, guitarist Joe Langridge-Brown, guitarist and keyboardist Dominic Craik, bassist Philip Blake, and drummer James Price. Their style of music has been compared to the likes of Foals, The Neighbourhood, and Civil Twilight, and they have been played on alternative and active rock radio.

Nothing But Thieves’ origins lie in schoolmates Conor <a href=""https://www.last.fm/music/Nothing+But+Thieves"">Read more on Last.fm</a>",854497,48875668,Man-Made Sunshine
Deftones,"Deftones is an American  alternative metal band from Sacramento, California, formed in 1988, consisting of Chino Moreno (lead vocals and guitar), Stephen Carpenter (guitar), Frank Delgado (keyboards and turntables), and Abe Cunningham (drums and percussion). Vega (formerly of Quicksand) took on bass duties from mid-2009 to ca. 2021 in substitution for Chi Cheng, who was seriously injured in an automobile accident in Santa Clara, California on November 4, 2008. <a href=""https://www.last.fm/music/Deftones"">Read more on Last.fm</a>",3230395,343244207,Team Sleep
Rend Collective,"Rend Collective Experiment is a Northern Irish Christian experimental, folk rock, worship band originating from Bangor, Northern Ireland. The current lineup consists of Gareth Gilkeson, Chris Llewellyn, Ali Gilkeson, Patrick Thompson and Steve Mitchell. <a href=""https://www.last.fm/music/Rend+Collective"">Read more on Last.fm</a>",68074,1647790,Chris Tomlin
Redhook,"RedHook is an Australian rock band from Sydney, formed in 2017. The band consists of guitarist Craig Wilkinson, bassist Ned Jankovic, drummer Alex Powys and vocalist Emmy Mack. In 2019 they released four singles, ""Minute On Fire"", ""Turn Up The Stereotype"", ""Paralysed"", and ""Only Bones"". The same year they released a cover of ""Guerrilla Radio"" by Rage Against The Machine.  In 2021 they released their debut EP Bad Decisions on April 23. They acquired Ned Jankovic formerly of Australian metalcore band Awaken I Am. <a href=""https://www.last.fm/music/Redhook"">Read more on Last.fm</a>",80398,1207092,
