Artista,Biografia,Listeners,Playcount,Artistas Similares
Charlie Puth,"Charles Otto Puth Jr. is an American singer, songwriter and record producer. His initial exposure came through the viral success of his song videos uploaded to YouTube.

Puth initially signed with the record label eleveneleven after performing on The Ellen DeGeneres Show, while songwriting and producing for other artists. With primary intent on a solo career, Atlantic Records and Artist Partner Group eventually sought the artist and released his debut single, ""Marvin Gaye"" (featuring Meghan Trainor), in 2015. <a href=""https://www.last.fm/music/Charlie+Puth"">Read more on Last.fm</a>",1818748,106522294,VaultBoy
Michael Bublé,"Michael Steven Bublé (born September 9, 1975, Burnaby, British Columbia) is a Canadian singer, songwriter, and actor. He has won several accolades, including five Grammy Awards and fifteen Juno Awards. His self-titled debut album, Michael Bublé, reached the top ten in the United Kingdom and his home country of Canada. He found worldwide commercial success with his 2005 album It's Time, and his 2007 album Call Me Irresponsible was an even bigger success, reaching number one on the Canadian Albums Chart, the U. <a href=""https://www.last.fm/music/+noredirect/Michael+Bubl%C3%A9"">Read more on Last.fm</a>",2951157,75290992,Bing Crosby
Goldhouse,"Grant Harris, also known by his stage name Goldhouse, is an American DJ, producer, singer and songwriter, based in Chicago. He previously released music as Breathe Electric. <a href=""https://www.last.fm/music/Goldhouse"">Read more on Last.fm</a>",81177,616567,Cash Cash
Ed Sheeran,"Edward Christopher ""Ed"" Sheeran MBE (born 17 February 1991) is a singer songwriter currently signed under Atlantic (WMG).  Ed Sheeran was born in Halifax, West Yorkshire before moving to Framlingham, Suffolk. In his time in Suffolk, he was known to have flourished as a hidden talent when it came to music. He learned guitar at a very young age, and began writing songs during his time at Thomas Mills High School in Framlingham. By the time Sheeran had left school <a href=""https://www.last.fm/music/Ed+Sheeran"">Read more on Last.fm</a>",3449417,200302738,Lewis Capaldi
Hujili," <a href=""https://www.last.fm/music/Hujili"">Read more on Last.fm</a>",1486,15060,
Nala Williams," <a href=""https://www.last.fm/music/Nala+Williams"">Read more on Last.fm</a>",212,809,Ashley Craig
Piano Project," <a href=""https://www.last.fm/music/Piano+Project"">Read more on Last.fm</a>",15592,97624,Andy Feldman
Lilly Gray," <a href=""https://www.last.fm/music/Lilly+Gray"">Read more on Last.fm</a>",493,1936,Don Blaine
Portugal. The Man,"Portugal. The Man is an experimental indie rock  band from Wasilla, Alaska (formed in 2004), but currenly based in Portland, Oregon, USA. The band's line-up currently consists of singer/guitarist John Gourley and bassist Zach Carothers (both formerly of Anatomy Of A Ghost), Gourley's wife Zoe Manville (backup vocals/percussion), guitarist Eric Howk, drummer Jason Sechrist, and keyboardist Kyle O'Quin (formerly of Gatsby's American Dream). The band has released nine studio albums (the latest being 2023's ""Chris Black Changed My Life"") <a href=""https://www.last.fm/music/Portugal.+The+Man"">Read more on Last.fm</a>",1682765,53777401,Broken Bells
4FOXSAKE," <a href=""https://www.last.fm/music/4FOXSAKE"">Read more on Last.fm</a>",934,18161,Who On Earth
Reinelex Records," <a href=""https://www.last.fm/music/Reinelex+Records"">Read more on Last.fm</a>",84,577,Welcome Records
Evelyn Ramos," <a href=""https://www.last.fm/music/Evelyn+Ramos"">Read more on Last.fm</a>",16,24,
Believe Sunshine," <a href=""https://www.last.fm/music/Believe+Sunshine"">Read more on Last.fm</a>",178,300,The Malibus Bro'
OneRepublic,"OneRepublic is an American pop-rock band formed in Colorado Springs, Colorado, in 2002. The lineup currently consists of Ryan Tedder (lead vocals, piano), Zach Filkins (lead guitar, viola), Drew Brown (rhythm guitar), Brent Kutzle (bass, cello), Eddie Fisher (drums), and Brian Willett (keyboards, violin).

The band achieved its first commercial success on Myspace as an unsigned act. In late 2002, after OneRepublic played shows throughout the Los Angeles area <a href=""https://www.last.fm/music/OneRepublic"">Read more on Last.fm</a>",3774388,110833759,Imagine Dragons
