Artista,Biografia,Listeners,Playcount,Artistas Similares
Exiting the Fall,"Exiting The Fall was a post-hardcore/metalcore band from Lynnfield/Boston, Massachusetts, United States.

Discography:
2015 - Bloodline
2013 - Windchaser
2011 - Parables
2009 - Beyond The Experience

Members:
Matt Vacaro - Vocals
Filipe Inacio - Guitar
Kevin Klein - Vocals, guitar
DJ Williams - Bass
Jon Miller - Drums

facebook.com/exitingthefall
exitingthefallband.bandcamp.com
exitingthefall.bandcamp.com
reverbnation.com/exitingthefall
twitter.com/exitingthefall
youtube.com/user/ExitingTheFallBand/videos
myspace.com/exitingthefall

[2008-2015] <a href=""https://www.last.fm/music/Exiting+the+Fall"">Read more on Last.fm</a>",1583,19739,
Brother.,"Brother. is a indie-rock band based out of Provo, Utah.  <a href=""https://www.last.fm/music/Brother."">Read more on Last.fm</a>",9766,47389,Blue Canopy
Lower Definition,"Lower Definition is a post-hardcore band from San Diego, California, United States who started out in 2001/2002.

In the midst of a bustling San Diego music scene, Lower Definition had managed to stay on top of the pile playing for packed crowds at nearly every show. Having been invited to play with bands ranging from Angels & Airwaves to Atreyu and tours such as The Vans Warped Tour and The Taste of Chaos, they established themselves as a force to be reckoned with. <a href=""https://www.last.fm/music/Lower+Definition"">Read more on Last.fm</a>",57600,1700085,Of Machines
Circa Waves,"Circa Waves is a British  indie rock band formed in Liverpool, UK in 2013. The band consists of Kieran Shudall (vocals, guitar), Sam Rourke (bass), Colin Jones (drums) and Joe Falconer (guitar). The band released a double-A side single late in 2013, featuring ""Get Away"" and ""Good For Me"" and an EP launch in mid 2014 (Young Chasers EP) on the Transgressive label.

The band's debut album,Young Chasers, was released on March 30, 2015 on the Virgin EMI label and was produced by Dan Grech. <a href=""https://www.last.fm/music/Circa+Waves"">Read more on Last.fm</a>",541025,8593796,Sea Girls
Wyldlife,"The year was 1979 and Wyldlife, then just shy of 21, were enjoying a post-rehearsal slice of pizza together down in the Lower East Side. A game of Time Warp pinball sounded like the perfect post-lunch treat, but when Russ (drums), Samm (guitar), Spencer (bass) and Dave (vocals) all inserted the quarter at the same time, they were instantly transported to the year 2010!

 Arriving in the 21st century was a bit of a shock for the leather jacket-clad garage quartet. <a href=""https://www.last.fm/music/Wyldlife"">Read more on Last.fm</a>",8393,105469,The White Wires
Cro-Mags,"The Cro-Mags are a hardcore/metal band from New York City, NY, formed in 1982. The band, which had a strong cult following, released many records, their first two considered the most influential. They were among the first bands to fuse hardcore punk with heavy metal/thrash metal and were associated with the birth of a tougher attitude within the hardcore scene in the late 1980s. They were also one of the first bands associated with the Hare Krishna movement. <a href=""https://www.last.fm/music/Cro-Mags"">Read more on Last.fm</a>",162042,4401071,Killing Time
jxdn,"Born Jaden Hossler, in Dallas, TX, jxdn struggled to find his voice in high school as an outsider. In 2018, he took control and developed a presence online through a consistent stream of engaging and clever content. He quietly exploded on Tik Tok, attracting 9.3 million followers and 283.8 million likes. After witnessing an arena show by the late Juice WRLD, he dove headfirst into music and unleashed his independent debut single “Comatose.” The <a href=""https://www.last.fm/music/jxdn"">Read more on Last.fm</a>",304205,9276370,MOD SUN
Softcult,"Softcult is siblings Mercedes  (guitar/vocals) and Phoenix (drums/vocals/production) Arn-Horn. The band began dropping single tracks in early 2021, and released their first EP, Year Of The Rat, on April 16, 2021.

Citing Bikini Kill as a major influence, the band takes the ethos of the riot grrrl movement and mixes it with shoegaze, grunge, and dreampop influences. Squarely feminist, the music addresses endemic issues of abuse, assault, harassment, misogyny, and social and gender norms as well as mental health. <a href=""https://www.last.fm/music/Softcult"">Read more on Last.fm</a>",173098,2300281,Teenage Wrist
Rival Waves,"Rival Waves is a rock band from Austin, Texas, fusing elements of alternative, grunge, indie, and permanent wave to craft powerful anthems wrapped in a vibrant, driving punk intensity. With a unique sonic aesthetic marrying the musical snarl of early Foo Fighters, the earnest, politically-charged lyricism of The Clash, and the distortion-soaked, indie sensibilities of Cloud Nothings, the band’s cathartic energy and lyrical volition serve to bridge the emotional connection between art and audience. <a href=""https://www.last.fm/music/Rival+Waves"">Read more on Last.fm</a>",958,117488,Filthy Soup
Rival Sons,"
Rival Sons is an American rock band from Long Beach, California. Formed in 2009 from the ashes of Scott Holiday’s previous band The Black Summer Crush that featured vocalist Thomas Flowers (Oleander), Michael Miley, and Robin Everhart. Rival Sons was born when Jay Buchanan was persuaded to try playing rock'n'roll and re-record ‘Before The Fire’. The band currently features bassist Dave Beste after Robin Everhart left in August 2013. Signed to Earache Records the band released their fifth studio album titled Hollow Bones on June 10th <a href=""https://www.last.fm/music/Rival+Sons"">Read more on Last.fm</a>",324215,7694407,The Temperance Movement
Mike Shinoda,"Michael Kenji Shinoda (born February 11, 1977) is an American musician, songwriter, rapper, singer, record producer and graphic designer. He co-founded Linkin Park in 1996 and is the band's rhythm guitarist, primary songwriter, keyboardist, producer, and lead vocalist. Shinoda later created a hip-hop-driven side project, Fort Minor, in 2004. He served as a producer for tracks and albums by Lupe Fiasco, Styles of Beyond and The X-Ecutioners.

Shinoda is also the co-founder of Machine Shop Records, a California-based record label. <a href=""https://www.last.fm/music/Mike+Shinoda"">Read more on Last.fm</a>",365320,6947936,Linkin Park
Highly Suspect,"A rock music trio from Massachusetts that started in 2009 as a cover band. Since their formation they have played over 800 live shows, and have released five full length albums, their self-titled album Highly Suspect (2011), Mister Asylum (2015), The Boy Who Died Wolf (2016),  MCID (2019) and The Midnight Demon Club (2022).

In addition to this, they've released three EPs: The Gang Lion EP (2010), The Worst Humans (2012), Black Ocean EP (2013). <a href=""https://www.last.fm/music/Highly+Suspect"">Read more on Last.fm</a>",352274,8566653,Cleopatrick
Moony,"There are at least 5 artists using the name Moony:
1) Moony (real name Monica Bragato) is a singer from Italy known. She's released several club hits such as ""Dove (I'll Be Loving You)"", ""Acrobats"" and ""Flying Away"".

Raised in Venice, Moony started singing in the Venetian club scene, doing the vocals for a number of songs by the DJ  Spiller. Her debut single, ""Point of View"" was released as part of the group DB Boulevard. The song became popular across Europe and earned the group a nomination in the MTV Europe Music Awards <a href=""https://www.last.fm/music/Moony"">Read more on Last.fm</a>",167636,1175956,Magic Box
Omnerod,"Omnerod is a progressive death metal band from Brussels, Belgium.

Members:
- Pablo Schwilden Diaz (drums)
- Romain Jeuniaux (guitars and vocals) <a href=""https://www.last.fm/music/Omnerod"">Read more on Last.fm</a>",2686,50541,The Anchoret
Wolves At The Gate,"Wolves At The Gate is a post-hardcore band that originated from Cedarville, Ohio, United States. 

Formed in 2008, they are currently signed to Solid State Records, where the band has released four EPs: ""We Are the Ones"" (2011), ""Back to School"" (2013), ""Reprise"" (2015), and ""Dawn"" (2020), five full-length albums: ""Captors"" (2012), ""VxV"" (2014), ""Types & Shadows"" (2016), ""Eclipse"" (2019), ""Eulogies"" (2022), and three Christmas singles over the years. <a href=""https://www.last.fm/music/Wolves+At+The+Gate"">Read more on Last.fm</a>",79559,2617594,
Liars,"Liars is an experimental electro/rock band formed in 2000. Australian-born Angus Andrew is the founding and only constant member with Aaron Hemphill (percussion, guitar, synth) leaving the project in 2017 and Julian Gross (drums) no longer is able to perform due to personal reasons. The band has released 8 studio albums since forming and remains one of the few bands still consistently active from the post-punk revival scene in New York of 2000s.
  <a href=""https://www.last.fm/music/Liars"">Read more on Last.fm</a>",520639,12825615,No Age
Departures,"1) Departures were a British melodic hardcore band from Glasgow, Scotland. Formed in 2007, they started to create a buzz within the british hardcore scene with their debut full length, When Losing Everything Is Everything You Wanted, promoting a brand of passionate modern hardcore, with strong melodic guitar riffs and emotional lyrics and subject matter. In October 2012, Departures signed to No Sleep Records for the release of their second full length, Teenage Haze. <a href=""https://www.last.fm/music/Departures"">Read more on Last.fm</a>",35078,856443,It Prevails
Rev Theory,"Rev Theory (formerly known as Revelation Theory) is an American hard rock band from North Andover, Massachusetts. Formed in 1997, they released their debut album, Truth Is Currency, on EMI subsidiary Element Records in 2005. They are currently signed to Interscope Records.

Revelation Theory's members first met in 1997 at Merrimack College in North Andover, and all moved to New York City in 2001 hoping for a career as a band.

In 2002, bassist Matty, a student at New York University, completed the quartet. <a href=""https://www.last.fm/music/Rev+Theory"">Read more on Last.fm</a>",467283,5844804,Art of Dying
Ra,"There are several artists with this name:
1. A rock band from California, United States
2. A psychedelic trance group from Norway
3. A post-punk band from Sweden
4. A dark metal/ambient project from Romania
5. An IDM artist from France
6. The electronic project of Ricardo Remédio
7. A jazz band from Noway
8. A hard rock band from Finland
9. A hardcore band from Massachusetts, United States 

1)  Musicality is the connective tissue binding and bridging Ra’s past to its present. <a href=""https://www.last.fm/music/Ra"">Read more on Last.fm</a>",205653,3096525,Tantric
Brother Cane,"Brother Cane is an American hard rock band that released three albums in the 1990's. Brother Cane was formed in 1990 by singer/guitarist Damon Johnson and bassist Glenn Maxey. Joined by guitarist Roman Glick and drummer Scott Collier, the band released their debut album Brother Cane in 1993. After the departure of Maxey, Glick switched to bass while the band added a new guitarist David Anderson. Their sophomore album Seeds was released in 1995. The group disbanded shortly after the release of their final studio album Wishpool in 1998. <a href=""https://www.last.fm/music/Brother+Cane"">Read more on Last.fm</a>",39150,251618,Candlebox
Toothgrinder,"Toothgrinder was created in 2010 by a group of musicians wanting to hit the music scene with something broader and more inventive than had been previously done by each in the past. Toothgrinder resides in Asbury Park, NJ and has recently won Best Heavy Rock Band (2010,2011,2012,2013) and Best Drummer (2011,2013) by the Asbury Park Music Awards. <a href=""https://www.last.fm/music/Toothgrinder"">Read more on Last.fm</a>",47398,499698,Twelve Foot Ninja
Maude Latour,"Maude Latour, 23, is an indie-pop artist from New York City. She graduated from Columbia University in New York City with a degree in philosophy and political science in 2022. 

After releasing her debut EP Starsick EP and a handful of singles, Latour signed to Warner Records, a deal which gave Latour the rights to her own masters. Her first single under Warner Records, Clean, was released in August 2021, followed by her second EP Strangers Forever EP in October <a href=""https://www.last.fm/music/Maude+Latour"">Read more on Last.fm</a>",229130,5115441,Ella Jane
All That Remains,"All That Remains is a Massachusetts, United States-based metalcore band. Originally established in 1998, the group is currently signed to Razor & Tie. Vocalist Philip Labonte was previously singer for the metal band Shadows Fall before he was replaced by Brian Fair. The band's debut album, Behind Silence And Solitude, was released in March 2002, prompting DigitalMetal.com to hail the group as ""one of the premier metalcore acts this side of the Atlantic. <a href=""https://www.last.fm/music/All+That+Remains"">Read more on Last.fm</a>",1008319,35149064,As I Lay Dying
Shim,"SHIM is a rock band from Seattle consisting of  Jeremy Crowe, Ragan Crowe, Mike Notter,
Micah Simler <a href=""https://www.last.fm/music/Shim"">Read more on Last.fm</a>",8612,73790,H.e.r.o.
The Relevance,"The Relevance is an experimental rock/pop/electronic concept from the United Kingdom. <a href=""https://www.last.fm/music/The+Relevance"">Read more on Last.fm</a>",119,510,fyaopo
The Ansible,"Members:

Greg Hinck - Guitars/Bass/Drums/Synth/Programming/Production
Derril King - Vocals/Lyrics/Inspiration

Biography: The Ansible is a musical project that documents our journeys into the frequency ether. These are the wavelengths we have returned with.

https://www.facebook.com/TheAnsibleTX/info?ref=page_internal
http://theansible.bandcamp.com/releases <a href=""https://www.last.fm/music/The+Ansible"">Read more on Last.fm</a>",3730,34383,RVNT
Pathogenic,"Pathogenic is a hard working MA metal quintet with an unmistakable sound. Relentlessly heavy, technically proficient and cleverly composed, their music spans the emotive spectrum. With two albums released, and having incessantly gigged the US East Coast, Pathogenic are constantly moving forward. <a href=""https://www.last.fm/music/Pathogenic"">Read more on Last.fm</a>",1908,35970,Entities
Marcus King,"Marcus King is an American singer, songwriter, and guitarist. He also fronts The Marcus King Band.  <a href=""https://www.last.fm/music/Marcus+King"">Read more on Last.fm</a>",97269,910642,Tedeschi Trucks Band
