Artista,Biografia,Listeners,Playcount,Artistas Similares
Fit for a King,"Fit For A King is a post-hardcore (earlier material/metalcore (later material) band from Dallas, Texas, United States formed in 2007. The band comprises vocalist Ryan Kirby, bassist-vocalist Ryan ""Tuck"" O'Leary, guitarists Bobby Lynge and Daniel Gailey, and drummer Trent Celaya.

The band was formed in Dallas, Texas in 2007 by Jared Easterling, Aaron Decur, Justin Juno, Jared McFerron, Alex Danforth and Jed McNeill. The band had performed locally and regionally and released two EPs in their beginning years. <a href=""https://www.last.fm/music/Fit+for+a+King"">Read more on Last.fm</a>",189946,8395042,no data
Fetch Tiger," <a href=""https://www.last.fm/music/Fetch+Tiger"">Read more on Last.fm</a>",10896,33744,They Owe Us
The Killers,"There are multiple artists using this name:

1. The Killers is an American rock band from Las Vegas, Nevada, formed in 2001. 
They got the name from the fictional band The Killers in the video for New Order's song Crystal. 
As of 2021, the band has released six studio albums, which have sold 28 million records worldwide. 

The Early Years
Initially, The Killers played at large clubs in Las Vegas. With the band's line-up stable and their repertoire of songs expanding <a href=""https://www.last.fm/music/The+Killers"">Read more on Last.fm</a>",5949292,291596881,Brandon Flowers
All Time Low,"All Time Low is an American pop punk band formed in Baltimore, Maryland, United States in 2003. When Alex Gaskarth (lead vocals, rhythm guitar, keyboards) was in middle school, he was moved from private school to public school, where he met Jack Barakat (lead guitar, backing vocals), and put the band together; later recruiting Rian Dawson (drums, percussion), and Zack Merrick (bass guitar, backing vocals). The band's name came from a line in the New Found Glory song Head On Collision. <a href=""https://www.last.fm/music/All+Time+Low"">Read more on Last.fm</a>",2086449,102714868,Simple Creatures
Moony,"There are at least 5 artists using the name Moony:
1) Moony (real name Monica Bragato) is a singer from Italy known. She's released several club hits such as ""Dove (I'll Be Loving You)"", ""Acrobats"" and ""Flying Away"".

Raised in Venice, Moony started singing in the Venetian club scene, doing the vocals for a number of songs by the DJ  Spiller. Her debut single, ""Point of View"" was released as part of the group DB Boulevard. The song became popular across Europe and earned the group a nomination in the MTV Europe Music Awards <a href=""https://www.last.fm/music/Moony"">Read more on Last.fm</a>",168415,1182494,Magic Box
Seeing Things,"Emerging with fury from Prague, Czechia (Czech Republic), 𝗦𝗘𝗘𝗜𝗡𝗚_𝗧𝗛𝗜𝗡𝗚𝗦 妄想症 have established themselves as a nu-metalcore band, combining a raw and aggressive sound with elements of trap, 808 based beats and intricate instrumentals.  Originally created by Vojtech Pacesny in 2019, Seeing Things was forged to bring a fresh new sound to the stage. Premiering with the fast-paced single Spectre (2019), the band continued their ongoing evolution with Entity (2019) <a href=""https://www.last.fm/music/Seeing+Things"">Read more on Last.fm</a>",12317,101042,Half Me
Death Therapy,"Death Therapy, is a two-man metal band that has no real genre. It’s groovy, industrial, and it has zero guitar. It’s on the right track.

Before Death Therapy, Jason Wisdom was the lead singer and bassist for the metal core band Becoming The Archetype. Twelve years, four records, and countless tours later, he took a step back to care for his family. 

He didn’t touch an instrument for nearly four years.

Now he’s back, bass in hand, and he’s doing it his way. <a href=""https://www.last.fm/music/Death+Therapy"">Read more on Last.fm</a>",4250,73750,Brotality
Disturbed,"Disturbed is an American alternative metal/hard rock band from Chicago, Illinois, formed in 1994. The band includes vocalist David Draiman, bassist John Moyer, guitarist/keyboardist Dan Donegan, and drummer Mike Wengren. Former band members are vocalist Erich Awalt and bassist Steve Kmak.

The band has released six studio albums, five of which have consecutively debuted at number one on the Billboard 200. Disturbed went into hiatus in October 2011 <a href=""https://www.last.fm/music/Disturbed"">Read more on Last.fm</a>",3065068,136629912,Godsmack
Raveneye,"Blues guitarist Oli Brown formed RavenEye in Milton Keynes in 2014 along with Australian bassist Aaron Spiers and drummer Kev Hickman. Shortly after the formation, the band toured Europe supporting guitarist Joe Satriani on a two-month tour during the summer of 2014. Festivals in Spain and a UK tour ended the busy opening year for the trio.[2]

In January 2015 the band's first single, Breaking Out received over 100,000 plays on Soundcloud in less than a month and was one of Classic Rock's Tracks of the week featured on their website.[3] <a href=""https://www.last.fm/music/Raveneye"">Read more on Last.fm</a>",12194,110867,no data
Honour Crest,"With fast paced beats and an electronica-hardcore hybrid that blends seamlessly, Honour Crest creates a new epic sound that is unmistakably their own.

https://www.facebook.com/honourcrest

debut album 'Spilled Ink' coming Dec 10th 2013 through Rise Records. <a href=""https://www.last.fm/music/Honour+Crest"">Read more on Last.fm</a>",7113,112284,City in the Sea
Yellowcard,"Yellowcard is a multi-platinum selling pop punk band from Jacksonville, Florida, USA. Their final album Yellowcard, released on September 30, 2016. 

Their music features a rare contribution to the genre, incorporating the use of a violin. Formed in 1997, the final line up consisted of Ryan Key (vocals, rhythm guitar), Ryan Mendez (lead guitar, vocals), Sean Mackin (violin, vocals), Nathan Young on drums, and Josh Portman on bass.
  
Yellowcard was formed in 1997 in Jacksonville <a href=""https://www.last.fm/music/Yellowcard"">Read more on Last.fm</a>",1921115,57941914,New Found Glory
ONE OK ROCK,"ONE OK ROCK is a Japanese Rock band formed in the summer of 2005. It was started by Toru with High School friends Alex and Ryota after each of them got their musical instruments. After that, Taka joined as their vocalist and they focused on performing shows in the Tokyo area.

In 2006 they independently released 2 mini albums. Because of their albums sales, their participation in relatively large festivals that summer and their energetic shows in the outskirts of Tokyo, they were noticed by a foreign record company. <a href=""https://www.last.fm/music/ONE+OK+ROCK"">Read more on Last.fm</a>",472873,38177577,MY FIRST STORY
Yeah Yeah Yeahs,"Yeah Yeah Yeahs is an American rock band formed in New York City in 2000. The group is composed of vocalist Karen O, guitarist Nick Zinner, and drummer Brian Chase. The band has recorded five studio albums; originally signed to independent Touch and Go Records, their first four albums were released by major record label Interscope. The first, Fever to Tell, was released in 2003. The second, Show Your Bones, was released in 2006 and was named the second best album of the year by NME. <a href=""https://www.last.fm/music/Yeah+Yeah+Yeahs"">Read more on Last.fm</a>",3408264,108672658,The Kills
Maude Latour,"Maude Latour, 23, is an indie-pop artist from New York City. She graduated from Columbia University in New York City with a degree in philosophy and political science in 2022. 

After releasing her debut EP Starsick EP and a handful of singles, Latour signed to Warner Records, a deal which gave Latour the rights to her own masters. Her first single under Warner Records, Clean, was released in August 2021, followed by her second EP Strangers Forever EP in October <a href=""https://www.last.fm/music/Maude+Latour"">Read more on Last.fm</a>",229526,5139229,Ella Jane
opponent,"Metal band from Seattle, WA. Signed to Solid State Records. <a href=""https://www.last.fm/music/opponent"">Read more on Last.fm</a>",690,7110,As Lions And Lambs
Archetypes Collide,"Arizona quintet Archetypes Collide — Kyle (vocals), Tyler (drums), Brandon (guitar), Jared (guitar), and Ky (bass) — have been grinding and building a name for themselves since 2014. They've released two EPs, a handful of singles and covers, and set out on tour to get their road legs under them as live performers. Archetypes Collide eventually captured the attention of Beartooth's Oshie Bichar, who began working with the band in the studio and helping to shape their sound. <a href=""https://www.last.fm/music/Archetypes+Collide"">Read more on Last.fm</a>",20341,204353,If I Were You
Panic! at the Disco,"Panic! at the Disco were an American pop rock band from Las Vegas, Nevada, formed in 2004 by childhood friends Ryan Ross, Spencer Smith, Brent Wilson, and Brendon Urie. Following several lineup changes, Panic! began operating as the solo project of frontman Urie from 2015 until the project's discontinuation in 2023.

Panic! at the Disco recorded their first demos while they were in high school. Shortly after, the band recorded and released their debut studio album, A Fever You Can't Sweat Out (2005). <a href=""https://www.last.fm/music/Panic%21+at+the+Disco"">Read more on Last.fm</a>",3796620,227907483,Fall Out Boy
Sueco,"William Schultz (b. January 28, 1997), better known by his stage name Sueco, (previously Sueco The Child), is an American rapper and producer coming from Los Angeles, California.

Sueco started gaining attention by uploading various videos on Instagram of him making beats out of many different things, but he didn’t reach the mainstream attention until his hit single “fast” (originally released on April 1, 2019) blew up out of no where due to it going viral on TikTok. <a href=""https://www.last.fm/music/Sueco"">Read more on Last.fm</a>",277375,11441984,MOD SUN
Wolves & Machines,"Wolves & Machines was an experimental post-hardcore/alternative rock band formed in 2008 in Saginaw, Michigan, United States. They brought a high energy live show while maintaining a certain level of technicality. Wolves & Machines released their first full length record in 2010, which was recorded at Random Awesome! Recording Studio in Bay City, Michigan. ""Ailments"", is available in stores and through Capeside Records. Later they released Remedies in 2012, Since Before Our Time in 2014 and Evergreen in 2021. <a href=""https://www.last.fm/music/Wolves+&+Machines"">Read more on Last.fm</a>",1866,60207,Your Best Friend
Q5,"Q5 was formed in Seattle, Washington, in 1983 by guitar innovator Floyd Rose and vocalist Jonathan Scott Palmerton aka Jonathan K, they were soon joined by Rick Pierce on guitar, Evan Sheeley on bass and drummer Gary Thompson, all of whom had deserted fellow Seattle band “TKO” to complete the line up. Q5 released two albums: Steel The Light  (1984) and  When The Mirror Cracks  (1986) before disbanding in 1987. Jonathan Scott K., Rick Pierce and Evan Sheeley went on to form Nightshade. <a href=""https://www.last.fm/music/Q5"">Read more on Last.fm</a>",16101,173416,Icon
In This Moment,"In This Moment is a alternative metal band, formed in North Hollywood, Los Angeles, California, United States in 2005. Their first album, entitled Beautiful Tragedy, was released on March 20th, 2007 on Century Media Records. The band's sound falls on the melodic side of the metalcore spectrum, with vocalist Maria Brink utilizing both screams and a good deal of clean, emotive singing, the latter being even more prominent on the band's second album, The Dream, released in 2008. <a href=""https://www.last.fm/music/In+This+Moment"">Read more on Last.fm</a>",543586,23784448,Butcher Babies
Year Of The Locust,"100,000 miles on the road. 4 years. We’re just getting started. 
New York’s Year of the Locust is doing things the old fashioned way. Rather than relying on false accolades and manufactured hype, the band has taken their furious live show and stellar songwriting to the masses directly. Extensive touring throughout the country has endeared the band to fans and peers alike. Their new single, “Stay Alive,” is a redemption song; ‘when you're thinking of giving up. <a href=""https://www.last.fm/music/Year+Of+The+Locust"">Read more on Last.fm</a>",256,4567,Mick Blankenship
Salvation,"There are at least five bands called Salvation.

1. Salvation was a hardcore punk band from Pennsylvania, United States. Members went on to play in bands such as Night Sins, Anxiety Hammer, Latishia's Skull Drawing, Human Headstone, and Carnivorous Bells.

2. Salvation is one of the original Leeds based post-punk/goth bands. Formed in 1983, they released their first 12"" on Merciful Release, the Sisters of Mercy's label. Salvation went on to become regular visitors to the Indie Top 20 alongside their contemporaries: The Mission <a href=""https://www.last.fm/music/Salvation"">Read more on Last.fm</a>",14805,161803,Play Dead
Linkin Park,"Linkin Park is an American rock band from Agoura Hills, California. The band's current lineup comprises of vocalist/rhythm guitarist/keyboardist Mike Shinoda, lead guitarist Brad Delson, bassist Dave Farrell, DJ/turntablist Joe Hahn, drummer Colin Brittain, and lead vocalist Emily Armstrong. Shinoda, Delson, Farrell and Hahn are founding members. Vocalists Mark Wakefield, Chester Bennington & drummer Rob Bourdon are former members of the band. Categorized as alternative rock <a href=""https://www.last.fm/music/Linkin+Park"">Read more on Last.fm</a>",5668557,477731778,Mike Shinoda
Candlebox,"Candlebox is a rock band from Seattle, Washington. Formed in December 1991, they originally named the band Uncle Duke and later changed it as a tribute to a song by Midnight Oil. They were sometimes looked down upon by grunge fans for their style, which was considered by many to be a derivative version of true grunge, and their commercial success suffered as a result. Despite this, the band played the Seattle club circuit during the early 1990s to <a href=""https://www.last.fm/music/Candlebox"">Read more on Last.fm</a>",584908,5939215,Days of the New
The Superjesus,"Lead singer and main song-writer Sarah McLeod formed the band in late 1994 with guitarist (and her guitar teacher at the time) Chris Tennent, drummer Paul Berryman and bass player Stuart Rudd. They were originally called Hell's Kitchen before changing their name to The Superjesus on the eve of the 1994 Big Day Out in Adelaide.

Says Paul Berryman of the name: ""It was basically just a piss-take on commonly used words in the 90's. Like The Jesus and Mary Chain <a href=""https://www.last.fm/music/The+Superjesus"">Read more on Last.fm</a>",33050,441908,Jebediah
Avenged Sevenfold,"Avenged Sevenfold (often abbreviated to A7X) is a heavy metal/hard rock band which formed in 1999 in Huntington Beach, California, United States. The band consists of vocalist M. Shadows, lead guitarist Synyster Gates, rhythm guitarist Zacky Vengeance, bassist Johnny Christ, and former Bad Religion and Suicidal Tendencies drummer Brooks Wackerman (2016-present). Heartbreakingly, the band's best friend and original drummer James ""The Rev"" Sullivan passed away in 2009. <a href=""https://www.last.fm/music/Avenged+Sevenfold"">Read more on Last.fm</a>",2377577,152788872,Bullet for My Valentine
The Word Alive,"The Word Alive is an American melodic metalcore/alternative metal band from Phoenix, Arizona, formed in 2008, the band is currently signed to Fearless Records. Their 2009 label debut, Empire reached position 15 on the Top Heatseekers, meeting a great amount of positive acclaim upon its release in 2009. The following year, the group recorded and released their debut full-length album, Deceiver on August 31, 2010, which reached 97 on the Billboard 200 and 15 on Independent Albums. <a href=""https://www.last.fm/music/The+Word+Alive"">Read more on Last.fm</a>",500774,12360448,Palisades
The Fright,"https://www.facebook.com/TheFrightOfficial

The Fright was formed by Lon, Kain and Noiseferatu in 2002. Their early inspirations included Misfits, Samhain and Danzig. From the beginning they wrote their own material.

In March 2003 they played their first show. After a few concerts and a lot of practice, in the end of 2003, they started recording the ""7 Of The Blackest Songs On Earth"" CD. It was recorded live in only 1 day, but nevertheless their reputation grew and a lot of good comments were granted by fiends all over the world. <a href=""https://www.last.fm/music/The+Fright"">Read more on Last.fm</a>",4854,89367,The Crimson Ghosts
D,"There is more than one artist under this name:

1. A Japanese Visual Kei band
2. California funk musician Darron Bergdorf
3. Uncredited Videogame Score Composer
4. Underground rapper from Erskine, Scotland.


1. D is a Japanese visual kei band formed in March 2003 by vocalist ASAGI (ex-Balsamic, JE*REVIENS, Ｓｙｎｄｒｏｍｅ), guitarist Ruiza (ex-Distray, LAYBIAL, Ｓｙｎｄｒｏｍｅ, ) and guitarist SIN (ex-WITH SEXY, Vasalla), former members of Syndrome. <a href=""https://www.last.fm/music/D"">Read more on Last.fm</a>",101225,5101372,KAMIJO
Devil's Den,"Kansas City Hardcore <a href=""https://www.last.fm/music/Devil%27s+Den"">Read more on Last.fm</a>",495,8099,Stepping Stone
Queens of the Stone Age,"Queens of the Stone Age is a rock band from Palm Desert, California, United States. The band is frequently labeled stoner rock, although they reject the label. They developed a style of riff-oriented, heavy music which the band's founder and mastermind Josh Homme described as ""robot rock"", saying that he ""wanted to create a heavy sound based on a solid jam, just pound it into your head"". Since then, their sound has evolved to incorporate a variety of different styles and influences. <a href=""https://www.last.fm/music/Queens+of+the+Stone+Age"">Read more on Last.fm</a>",3245151,202897748,Them Crooked Vultures
In Angles,"In Angles is a progressive post-hardcore band from East Brunswick, New Jersey, United States.

They put out their EP in 2014 called Upstairs, the album Cascading Homes in 2016, EP Shortfalls in 2018, and the album Cardinal in 2022.

Tom Etts - Vocals/Guitar
Nick Santoro - Guitar
Brian Liddy - Bass
Joe Scala - Drums

Alex Link - Bass

open.spotify.com/artist/4hMRSjr6V19FIEftqxZsDM
inangles.bandcamp.com
facebook.com/inangles <a href=""https://www.last.fm/music/In+Angles"">Read more on Last.fm</a>",13022,188789,Sincerely
Papa Roach,"Papa Roach is an American rock band from Vacaville, California, formed in 1993. The original lineup consisted of lead vocalist Jacoby Shaddix, guitarist Jerry Horton, drummer Dave Buckner, bassist Will James, and trombonist Ben Luther.

After two EPs, James left and was replaced by Tobin Esperance. The band independently released two more EPs before signing with DreamWorks Records in 1999, subsequently releasing the triple-platinum Infest in 2000, the gold album Lovehatetragedy in 2002 and the platinum album Getting Away with Murder in 2004. <a href=""https://www.last.fm/music/Papa+Roach"">Read more on Last.fm</a>",3162384,102302194,P.O.D.
Nova Charisma,"Nova Charisma is an American post-hardcore/progressive rock trio from California formed in 2019 consisting of Donovan Melero (Hail The Sun, Sianvar, Kill Iconic), Sergio Medina (Eidola, Stolas, Sianvar) and Carlo Marquez (Stolas, Kill Iconic, Diver)

Discography: Exposition I EP (2019)Exposition II EP (2019)Exposition III EP (2020)Hollow People - Single (2022)Metropolitan LP (2024) <a href=""https://www.last.fm/music/Nova+Charisma"">Read more on Last.fm</a>",29632,529602,Hail The Sun
Gary Clark Jr.,"Gary Clark Jr. (born February 15, 1984) is an American guitarist and actor based in Austin, Texas. Described as being the future of Texas blues, Clark's resume has included sharing the stage with various legends of rock and roll. He has stated that he is ""influenced by blues, jazz, soul [and] country, as well as hip hop"". Clark's musical trademarks are his extremely fuzzy guitar sound and smooth vocal style.


GARY CLARK JR.began playing guitar in 1996 at the ripe young age of 12. <a href=""https://www.last.fm/music/Gary+Clark+Jr."">Read more on Last.fm</a>",479682,7162502,Marcus King
Royal & the Serpent,"Ryan Santiago (born May 25, 1994), known professionally as Royal & the Serpent, is an American singer and songwriter. A New Jersey native, Ryan Santiago was born on May 25, 1994. Santiago took up competitive dance as a child, until she ""shattered both [her] heel plates"" after jumping off a stage while performing when she was 14 years old. She subsequently delved into musical theater. In her teenage years, Santiago learned how to play the guitar and began writing songs. <a href=""https://www.last.fm/music/Royal+&+the+Serpent"">Read more on Last.fm</a>",323746,4732736,UPSAHL
Softcult,"Softcult is siblings Mercedes  (guitar/vocals) and Phoenix (drums/vocals/production) Arn-Horn. The band began dropping single tracks in early 2021, and released their first EP, Year Of The Rat, on April 16, 2021.

Citing Bikini Kill as a major influence, the band takes the ethos of the riot grrrl movement and mixes it with shoegaze, grunge, and dreampop influences. Squarely feminist, the music addresses endemic issues of abuse, assault, harassment, misogyny, and social and gender norms as well as mental health. <a href=""https://www.last.fm/music/Softcult"">Read more on Last.fm</a>",173627,2315438,Teenage Wrist
