Artista,Biografia,Listeners,Playcount,Artistas Similares
Maryam Vidal," <a href=""https://www.last.fm/music/Maryam+Vidal"">Read more on Last.fm</a>",8,18,no data
Melanie Martinez,"Melanie Adele Martinez (born April 28th, 1995) is an American singer-songwriter, artist, director, actress, dancer, clothing designer, producer and  photographer. 

Born in Astoria, Queens, and raised in Baldwin, New York, she first participated in the MSG Varsity Talent Show during her junior year of high school and subsequently rose to prominence in 2012 after appearing on the American television vocal talent show The Voice. She auditioned singing <a href=""https://www.last.fm/music/Melanie+Martinez"">Read more on Last.fm</a>",1778575,178942851,Jazmin Bean
YDKM," <a href=""https://www.last.fm/music/YDKM"">Read more on Last.fm</a>",5641,70851,GORESET
The Bedtime Orchestra," <a href=""https://www.last.fm/music/The+Bedtime+Orchestra"">Read more on Last.fm</a>",15366,89633,Alec Dufner
Workout Music," <a href=""https://www.last.fm/music/Workout+Music"">Read more on Last.fm</a>",10239,97750,Workout Music Tv
Kehlani,"Kehlani Ashley Parrish (born April 24, 1995), known professionally as Kehlani, is an American singer and songwriter. Kehlani is originally from Oakland, California where they achieved initial fame as a member of the teen pop group, Poplyfe, which was a finalist on America's Got Talent. Kehlani released their first mixtape Cloud 19, in 2014; followed by their sophomore mixtape You Should Be Here the next year. Their debut album SweetSexySavage was released in January 2017 to mainly positive reception <a href=""https://www.last.fm/music/Kehlani"">Read more on Last.fm</a>",1207346,45092458,Kiana Ledé
Scarlett Rome," <a href=""https://www.last.fm/music/Scarlett+Rome"">Read more on Last.fm</a>",7,12,no data
Movie Sounds Unlimited," <a href=""https://www.last.fm/music/Movie+Sounds+Unlimited"">Read more on Last.fm</a>",171386,1247632,Алан Сильвестри
Bebe Rexha,"Bleta Rexha, known professionally as Bebe Rexha, is an American singer and songwriter. After signing with Warner Records in 2013, Rexha received songwriting credits on Eminem's single ""The Monster"" and has also contributed songwriting to songs recorded by Shinee, Selena Gomez and Nick Jonas. Rexha released her debut EP in 2015, I Don't Wanna Grow Up, which saw the moderate commercial success of the singles ""I Can't Stop Drinking About You"" and ""I'm Gonna Show You Crazy"". <a href=""https://www.last.fm/music/Bebe+Rexha"">Read more on Last.fm</a>",1196802,32126886,Rita Ora
Cardi B,"Belcalis Marlenis Almánzar (born October 11, 1992), known professionally as Cardi B, is an American rapper and songwriter. Born and raised in New York City, she became an Internet celebrity by achieving popularity on Vine and Instagram. From 2015 to 2017, she appeared as a regular cast member on the VH1 reality television series Love & Hip Hop: New York, which depicted her pursuit of her music aspirations. She released two mixtapes—Gangsta Bitch Music, Vol. 1 and Vol. 2, before signing with label Atlantic Records in early 2017. <a href=""https://www.last.fm/music/Cardi+B"">Read more on Last.fm</a>",1837477,55313435,Latto
Variation 5," <a href=""https://www.last.fm/music/Variation+5"">Read more on Last.fm</a>",373,1086,Geeno Smith
POP ETC,"POP ETC is an American indie band from Berkeley, California. The band was formerly known as The Morning Benders. 

As The Morning Benders the band released a number of EPs and two full-length albums: Talking Through Tin Cans (2008) and Big Echo (2010). 

On March 25, 2012, the band posted on Facebook and Twitter that the band's name would be changed to POP ETC. Their first album under the new name is the self-titled POP ETC (2012).

The band consists of Julian Harmon, Tim Or, Jonathan Chu and Christopher Chu.

Website: www.popetcetera.com <a href=""https://www.last.fm/music/POP+ETC"">Read more on Last.fm</a>",128140,886932,Imperial Mammoth
The Higher,"Just because The Higher can bust out pop tunes, it doesn't mean that's what defines them. Their first two albums, Histrionics (2005) and On Fire (2007), branded the band's trademark sound of R&B and pure rock. ""We fuse the rock and R&B that we know, and put it into our own words,"" founding member and bassist Jason ""Face"" Centeno says, citing Michael Jackson, The Dream, Al Green, Jimmy Eat World, and Maroon 5 as influences.

Now seven years since they first formed in 2002 <a href=""https://www.last.fm/music/The+Higher"">Read more on Last.fm</a>",146367,2464008,Hit the Lights
Aryana León," <a href=""https://www.last.fm/music/Aryana+Le%C3%B3n"">Read more on Last.fm</a>",68,257,"Yaadcore, Pressure Busspipe & I Wayne"
Will Berger," <a href=""https://www.last.fm/music/Will+Berger"">Read more on Last.fm</a>",2141,13843,Andrés Galván
Yeah Yeah Yeahs,"Yeah Yeah Yeahs is an American rock band formed in New York City in 2000. The group is composed of vocalist Karen O, guitarist Nick Zinner, and drummer Brian Chase. The band has recorded five studio albums; originally signed to independent Touch and Go Records, their first four albums were released by major record label Interscope. The first, Fever to Tell, was released in 2003. The second, Show Your Bones, was released in 2006 and was named the second best album of the year by NME. <a href=""https://www.last.fm/music/Yeah+Yeah+Yeahs"">Read more on Last.fm</a>",3408264,108672658,The Kills
Grewsum,"GrewSum is a 23 year old hardcore/horrorcore/hip hop rapper from Iowa. His first cd, The Donnie Darkflow EP, came out in 2006. Then he put out Darkflow 2.0 in 2007, was on Mission Infect's Chemical Threats double cd, put out a free cd called The Pheonix on New Year's of '07, then in '08 put out a mixtape called IA Boyz Vol. 1 on April 1st 2008 with the rapper Bubbz. Then he put out A Near Life Experience in the summer of '08. GrewSum has worked with many artists like BG Bulletwound <a href=""https://www.last.fm/music/Grewsum"">Read more on Last.fm</a>",1724,84610,Mission Infect
All-4-One,"All-4-One is a male soul and rnb group, best known for their hit single ""I Swear"" from their self-titled 1994 debut album. ""I Swear,"" a remake of the country hit from John Michael Montgomery, won the 1995 Grammy Award for Best Pop Performance By A Duo Or Group With Vocal and enjoyed an eleven-week run at #1 on the Billboard Hot 100 as well as a seven-week run at #2 in the U.K. Praised for their four-part harmonies and smooth sound, they had their most success in the 90s. <a href=""https://www.last.fm/music/All-4-One"">Read more on Last.fm</a>",322719,1692450,K-Ci & JoJo
Lilly Gray," <a href=""https://www.last.fm/music/Lilly+Gray"">Read more on Last.fm</a>",495,1941,Don Blaine
Anne-Marie,"Essex, England-born Anne-Marie Nicholson was no stranger to performing by the time her debut EP dropped in 2015, having shared the stage as a 12-year-old with none other than Jessie J in a West End production of Whistle Down the Wind. She also auditioned for Les Misérables without telling her parents, and was offered a part. It was a risk that paid off, as it served to open her parents' eyes to her singing ability. Aside from West End commitments <a href=""https://www.last.fm/music/Anne-Marie"">Read more on Last.fm</a>",977876,17124573,Rita Ora
Olly Alexander (Years & Years),"Oliver Alexander Thornton (born 15 July 1990), known professionally as Olly Alexander, is an English singer, actor and LGBT activist.

He rose to prominence as the lead singer of the pop band Years & Years, who achieved two number-one albums on the UK Albums Chart, a number-one single, and five top ten entries on the UK Singles Chart. Between 2021 and 2023, he continued to release music under the name until their dissolution in 2024.

Alexander represented the United Kingdom in the Eurovision Song Contest 2024 in Malmö <a href=""https://www.last.fm/music/Olly+Alexander+(Years+&+Years)"">Read more on Last.fm</a>",324664,3333901,Mustii
no data,no data,no data,no data,no data
Mabel,"Mabel Alabama Pearl McVey (born on 19 February 1996 in Málaga, Spain) is a British singer and songwriter. She is the daughter of Swedish hit singer Neneh Cherry and British hit producer Cameron McVey. At age fifteen, Mabel enrolled at the Stockholm music school Rytmus Musikergymnasiet, a music high school, where she took a three-year course in songwriting, production and music theory.

Mabel released her debut single ""Know Me Better"" in July 2015, which caught the attention of BBC Radio 1 DJ Annie Mac, who made the song her Tune of the Week. <a href=""https://www.last.fm/music/Mabel"">Read more on Last.fm</a>",617460,11660193,Rita Ora
70s greatest hits," <a href=""https://www.last.fm/music/70s+greatest+hits"">Read more on Last.fm</a>",6475,49712,70s Love songs
Panic! at the Disco,"Panic! at the Disco were an American pop rock band from Las Vegas, Nevada, formed in 2004 by childhood friends Ryan Ross, Spencer Smith, Brent Wilson, and Brendon Urie. Following several lineup changes, Panic! began operating as the solo project of frontman Urie from 2015 until the project's discontinuation in 2023.

Panic! at the Disco recorded their first demos while they were in high school. Shortly after, the band recorded and released their debut studio album, A Fever You Can't Sweat Out (2005). <a href=""https://www.last.fm/music/Panic%21+at+the+Disco"">Read more on Last.fm</a>",3796620,227907483,Fall Out Boy
Imagine Dragons,"Imagine Dragons are a pop band which formed in 2008 in Las Vegas, Nevada, United States. The band consists of Dan Reynolds (vocals), Wayne Sermon (guitar) and Ben McKee (bass) . The band released four EPs - ""Imagine Dragons"" (2009), ""Hell and Silence"" (2010), ""It's Time"" (2011) and ""Continued Silence"" (2012) - before releasing their debut full length album ""Night Visions"" on 4 September 2012.

The band's single ""It's Time"", which previously appeared on the ""It's Time"" and ""Continued Silence"" EPs in addition to appearing on ""Night Visions"" <a href=""https://www.last.fm/music/Imagine+Dragons"">Read more on Last.fm</a>",3381991,198613561,OneRepublic
Sueco,"William Schultz (b. January 28, 1997), better known by his stage name Sueco, (previously Sueco The Child), is an American rapper and producer coming from Los Angeles, California.

Sueco started gaining attention by uploading various videos on Instagram of him making beats out of many different things, but he didn’t reach the mainstream attention until his hit single “fast” (originally released on April 1, 2019) blew up out of no where due to it going viral on TikTok. <a href=""https://www.last.fm/music/Sueco"">Read more on Last.fm</a>",277375,11441984,MOD SUN
DJ ReMix Factory," <a href=""https://www.last.fm/music/DJ+ReMix+Factory"">Read more on Last.fm</a>",18192,96469,Lingyi
2022 Hit Songs Music Mix," <a href=""https://www.last.fm/music/2022+Hit+Songs+Music+Mix"">Read more on Last.fm</a>",563,1554,Gaming Music 2022
Jaymes Young,"Jaymes Young is a 31-year-old Los Angeles singer-songwriter born and raised in Seattle.
 
Released in May, 2013, Young’s Dark Star EP received immediate label interest and blog acclaim upon its release – being featured by the likes of Nylon Magazine, Earmilk, and Noisey, as well as topping the #1 spot numerous times on Hype Machine’s “Most Popular Tracks” list.

Having just finished a North America & UK tour this fall with British indie pop trio London Grammar <a href=""https://www.last.fm/music/Jaymes+Young"">Read more on Last.fm</a>",900534,14214108,Ruelle
Lizzo,"Melissa Jefferson (born April 27, 1988 in Detroit, Michigan, U.S.), known professionally as Lizzo, is an American rapper and singer. She is a founding member of indie hip hop groups The Chalice, Grrrl Prty, The Clerb, Ellypseas, and Absynthe. Her debut album, Lizzobangers, was released in 2013. In 2015, she released her sophomore album, Big Grrrl Small World.

Born in Detroit in the late 80’s, Lizzo spent much of her formative years in the church <a href=""https://www.last.fm/music/Lizzo"">Read more on Last.fm</a>",1464686,47213310,Chlöe
hayden kolb," <a href=""https://www.last.fm/music/hayden+kolb"">Read more on Last.fm</a>",1397,12445,Kazumichi Komatsu
Linkin Park,"Linkin Park is an American rock band from Agoura Hills, California. The band's current lineup comprises of vocalist/rhythm guitarist/keyboardist Mike Shinoda, lead guitarist Brad Delson, bassist Dave Farrell, DJ/turntablist Joe Hahn, drummer Colin Brittain, and lead vocalist Emily Armstrong. Shinoda, Delson, Farrell and Hahn are founding members. Vocalists Mark Wakefield, Chester Bennington & drummer Rob Bourdon are former members of the band. Categorized as alternative rock <a href=""https://www.last.fm/music/Linkin+Park"">Read more on Last.fm</a>",5668557,477731778,Mike Shinoda
Ava Max,"Amanda Ava Koci (born February 16, 1994), known professionally as Ava Max, is an American singer and songwriter. Ava first got her start in the music industry in 2008 as Amanda Kay, in which she released her first EP titled “Amanda Kay” that year. The EP featured 6 songs that were co-written and produced by Kevin Rudolf. 

Ava would then restart her music career under the name AVA in 2013 and release the single, “Take Away the Pain”.  A year later, she would meet music producer Cirkut and begin recording songs with him. <a href=""https://www.last.fm/music/Ava+Max"">Read more on Last.fm</a>",1223821,51460416,Bebe Rexha
Gen Pop,"l o - f i 
b e d r o o m 
p o p

Noise rock band from Toronto, Ontario. <a href=""https://www.last.fm/music/Gen+Pop"">Read more on Last.fm</a>",2529,20066,Jens-Uwe Beyer
Ashley Craig," <a href=""https://www.last.fm/music/Ashley+Craig"">Read more on Last.fm</a>",1615,5436,Sophia Atwood
The Jagged Edges," <a href=""https://www.last.fm/music/The+Jagged+Edges"">Read more on Last.fm</a>",3453,11706,Chelsea Lee Greenwood
Trinix Remix," <a href=""https://www.last.fm/music/Trinix+Remix"">Read more on Last.fm</a>",55570,494141,no data
Lona.," <a href=""https://www.last.fm/music/Lona."">Read more on Last.fm</a>",21,217,no data
Red Letter Day,"Red Letter Day has been the name of at least eight different bands:  

1. A punk band from the Portsmouth region of the UK; 

2. a folk/blues band from the Eastern US that consisted of Suzanna Mallow and Andrea Jones (and does not appear to be recording any longer); 

3. a hard rock band from the Virginia region of the US that mostly performs live. 

4. A pop band from Hamburg, Germany, 1989-1994. 

5. A  punk rock band from South Florida comprised of ex-members of As Friends Rust, before they became The Rocking Horse Winner. <a href=""https://www.last.fm/music/Red+Letter+Day"">Read more on Last.fm</a>",2924,24080,Stereoblis
Claire Bell," <a href=""https://www.last.fm/music/Claire+Bell"">Read more on Last.fm</a>",120,354,Eva Cooper
MICHELANGEL0," <a href=""https://www.last.fm/music/MICHELANGEL0"">Read more on Last.fm</a>",174,6325,Age Coin
Pleytime," <a href=""https://www.last.fm/music/Pleytime"">Read more on Last.fm</a>",30,145,Sam Franklin
Invadable Harmony," <a href=""https://www.last.fm/music/Invadable+Harmony"">Read more on Last.fm</a>",281134,2281608,Lucas King
Lady Gaga,"Stefani Joanne Angelina Germanotta, known professionally as Lady Gaga, (born March 28, 1986 in New York, NY) is an American singer, songwriter and actress. She is known for her image reinventions and musical versatility. Gaga began performing as a teenager, singing at open mic nights and acting in school plays. She studied at Collaborative Arts Project 21, through the New York University Tisch School of the Arts, before dropping out to pursue a career in music. <a href=""https://www.last.fm/music/Lady+Gaga"">Read more on Last.fm</a>",6268361,612719077,Madonna
Emily The Band,"emily the band is a three-piece queer girl group based in Peoria, Illinois. <a href=""https://www.last.fm/music/Emily+The+Band"">Read more on Last.fm</a>",2071,15061,Sage Crosby
Popular Songs," <a href=""https://www.last.fm/music/Popular+Songs"">Read more on Last.fm</a>",688,4025,Travis Scott - Topic
Nasty Power," <a href=""https://www.last.fm/music/Nasty+Power"">Read more on Last.fm</a>",175,401,Heartbits
Lil Deela," <a href=""https://www.last.fm/music/Lil+Deela"">Read more on Last.fm</a>",5575,27720,Lil Golden Shades
Goldhouse,"Grant Harris, also known by his stage name Goldhouse, is an American DJ, producer, singer and songwriter, based in Chicago. He previously released music as Breathe Electric. <a href=""https://www.last.fm/music/Goldhouse"">Read more on Last.fm</a>",81200,617068,Cash Cash
Robin Schulz,"Robin Schulz (born 28 April 1987) is a German electronic DJ and producer. In 2013, he remixed the song ""Waves"" by Dutch hip hop artist, Mr. Probz. Another equally famous remix was his 2014 remix of the Lilly Wood & the Prick track ""Prayer in C"" from their 2010 album Invincible Friends. Both remixes have charted in many European countries, leading to international recognition. <a href=""https://www.last.fm/music/Robin+Schulz"">Read more on Last.fm</a>",1061495,18588881,Lost Frequencies
Twenty One Pilots,"Twenty One Pilots (stylized in all lowercase or as twenty øne piløts) is an American musical duo from Columbus, Ohio. Initially a band, the group was formed in 2009 by lead vocalist Tyler Joseph along with Nick Thomas and Chris Salih, who both left in 2011. Since their departure, the line-up has consisted of Joseph and drummer Josh Dun. The duo is best known for their singles ""Stressed Out"", ""Ride"", and ""Heathens"". The group received a Grammy Award for Best Pop Duo/Group Performance at the 59th Annual Grammy Awards for ""Stressed Out"". <a href=""https://www.last.fm/music/Twenty+One+Pilots"">Read more on Last.fm</a>",2493561,243483193,no data
Demi Lovato,"Demetria Devonne Lovato, professionally known as Demi Lovato, is an American singer, songwriter and actress. After appearing on the children's television series Barney & Friends (2002–2004), Lovato rose to prominence for playing Mitchie Torres in the musical television film Camp Rock (2008) and its sequel Camp Rock 2: The Final Jam (2010); the former film's soundtrack contained ""This Is Me"", Lovato's debut single and duet with Joe Jonas, which peaked at number nine on the Billboard Hot 100. <a href=""https://www.last.fm/music/Demi+Lovato"">Read more on Last.fm</a>",2677857,146900671,Demi Lovato & Joe Jonas
Todays Top Hits," <a href=""https://www.last.fm/music/Todays+Top+Hits"">Read more on Last.fm</a>",1152,4688,2022 Hit Songs Music Mix
Secret American," <a href=""https://www.last.fm/music/Secret+American"">Read more on Last.fm</a>",4318,20191,Gaspard Eden
Deee-Lite,"Deee-Lite was a dance music group formed in 1986 in Williamsburg, Brooklyn and playing in NYC fusing house music, hip-hop/rap, funk and techno- before there was a word for techno.  Lady Miss Kier named their production company ""Sampladelic""  and described their music as holographic techno-soul.  They were dedicated to outrageous live shows handing out daisies, projecting Captain Whizzo's psychedelic lightshow, employing voguers and other free-styling club dancers as opposed to rigid formation choreography <a href=""https://www.last.fm/music/Deee-Lite"">Read more on Last.fm</a>",665109,5239326,Ce Ce Peniston
Paramore,"Paramore is an alternative rock band formed in Franklin, Tennessee, United States in 2003. The band currently consists of Hayley Williams (vocals, keyboard), Taylor York (guitar) and Zac Farro (drums). They have released six studio albums: All We Know Is Falling, RIOT! , Brand New Eyes, their first Billboard 200 chart topper Paramore, After Laughter and their grammy winning sixth studio album This is Why .

Paramore, as a quartet, released their debut studio album, All We Know Is Falling, in 2005. <a href=""https://www.last.fm/music/Paramore"">Read more on Last.fm</a>",4426608,386198536,Hayley Williams
Makenzie," <a href=""https://www.last.fm/music/Makenzie"">Read more on Last.fm</a>",3739,14398,Kate Stewart
Conan Gray,"Conan Gray is an American singer-songwriter and social media personality. He was born on December 5, 1998, in Lemon Grove, California. As an infant, his family moved to Hiroshima, Japan and shortly after returned to California, before settling in Georgetown, Texas.

He started his career on YouTube under his channel 'ConanxCanon' before officially changing to 'Conan Gray'. While on his time on YouTube he released multiple original songs, with the <a href=""https://www.last.fm/music/Conan+Gray"">Read more on Last.fm</a>",1794243,151519849,Gracie Abrams
William Wild,"William Wild is an  Alt/Folk band based out of Knoxville, Tenn. The group formed in November of 2013 and released their self-titled album in April of 2014. Their music is best described as ambient folk/rock akin to Ben Howard or Bon Iver. You can find their new album on iTunes. <a href=""https://www.last.fm/music/William+Wild"">Read more on Last.fm</a>",44158,179660,Sam Brookes
Ryan Beatty,"Ryan Kevin Beatty (born September 25, 1995), known professionally as simply Ryan Beatty, is an American singer-songwriter from Clovis, California.

By the end of 2009, at the age of 14, Ryan started uploading videos to his sister’s YouTube account… and then the social media world took notice; hundreds of thousands of people started becoming aware of Ryan’s vocal ability, charm and star-potential. 

On February 25, 2011, Ryan created his own YouTube Channel and started posting covers of popular songs on there <a href=""https://www.last.fm/music/Ryan+Beatty"">Read more on Last.fm</a>",328673,9204963,Maggie Rogers
The Living Strange,"From Brooklyn, New York, USA <a href=""https://www.last.fm/music/The+Living+Strange"">Read more on Last.fm</a>",988,5763,soklo
Fitz and the Tantrums,"Fitz and the Tantrums are an American soul group from Los Angeles, California. The group was founded in 2008 by Michael Fitzpatrick, who had begun writing soul music for a solo project on an old church organ he had purchased. He added friend James King to the group as an arranger and soon after expanded the band to a seven-piece, including several horns. Fitzpatrick shares the vocal duties with Noelle Scaggs. Other members include Joseph Karnes, Jeremy Ruzumna, and John Wicks. <a href=""https://www.last.fm/music/Fitz+and+the+Tantrums"">Read more on Last.fm</a>",1493562,21367141,Saint Motel
charmplay," <a href=""https://www.last.fm/music/charmplay"">Read more on Last.fm</a>",374,3371,Only Seven Left
Janet Jackson,"Janet Damita Jo Jackson (born May 16, 1966 in Gary, IN) is an American singer, songwriter, producer, actress and dancer. She is noted for her innovative, socially conscious and sexually provocative records, as well as elaborate stage shows. Her sound and choreography became a catalyst in the growth of MTV, enabling her to rise to prominence while breaking gender and racial barriers in the process. Lyrical content which focused on social issues set her reputation as a role model for youth. <a href=""https://www.last.fm/music/Janet+Jackson"">Read more on Last.fm</a>",1796317,45045452,Mariah Carey
Klaye Creation," <a href=""https://www.last.fm/music/Klaye+Creation"">Read more on Last.fm</a>",18,77,no data
Tito Hernandez," <a href=""https://www.last.fm/music/Tito+Hernandez"">Read more on Last.fm</a>",0,0,no data
Jonas Brothers,"The Jonas Brothers are an American pop rock band. Formed in 2005, they gained popularity from the Disney Channel children's television network and consists of three brothers from Wyckoff, New Jersey; Kevin Jonas, Joe Jonas and Nick Jonas. 

In the summer of 2008, they starred in the Disney Channel Original Movie Camp Rock and its sequel, Camp Rock 2: The Final Jam. They also starred as Kevin, Joe, and Nick Lucas, the band JONAS, in their own Disney Channel series JONAS, which was later re-branded for its second season as Jonas L. <a href=""https://www.last.fm/music/Jonas+Brothers"">Read more on Last.fm</a>",1713847,48774906,Nick Jonas & the Administration
Bash & Pop,"Bash & Pop is an American alternative rock group formed in 1992 by Tommy Stinson in Minneapolis, Minnesota, following the breakup of the Replacements. It released one album before disbanding in 1994. Tommy Stinson reformed the band in 2016 with a new lineup and album

Stinson, who had played bass for the Replacements, switched to guitar and lead vocals for this project. Joining him were latter-day Replacements drummer Steve Foley, Steve's brother Kevin on bass and guitarist Steve Brantseg. <a href=""https://www.last.fm/music/Bash+&+Pop"">Read more on Last.fm</a>",13722,142940,Paul Westerberg
R!,"R! are a band bringing together 5 Melbourne musicians from several other bands who were looking for something else... Something extraordinary which involved imagery of pirates and pirate cats, yet with music which had absolutely nothing to do with either of those things.

The result is R!. Playing funky jazz grooves that rock your shoulders and the sides of your mouth, R! enjoy being poetic, yet tolerable. Some may even say enjoyable, or danceable.  <a href=""https://www.last.fm/music/R%21"">Read more on Last.fm</a>",224,1198,Try the Fish
Galantis,"Featuring Christian Karlsson of Miike Snow and Linus Eklöw from Style of Eye, Galantis are a Swedish superduo who represent the place where EDM and pop meet. Karlsson (the man behind hits like Britney Spears' ""Toxic"") met Eklöw (the man behind hits like Icona Pop's ""I Love It"") at the Robotberget studio in Stockholm. Their mutual admiration society turned into a project once they began discussing a more poignant style of EDM that retained pop's passion. <a href=""https://www.last.fm/music/Galantis"">Read more on Last.fm</a>",1286127,23707504,Sigala
