Artista,Biografia,Listeners,Playcount,Artistas Similares
Quintino,"Quinten van den Berg (born September 21, 1985), better known by his stage name Quintino, is a Dutch DJ and record producer. His music is mostly electro house. His most popular songs include his remix of ""Rap das Armas', 'Selecta', 'Go Hard' and 'Fatality'. In 2014 he was named No. 86 in the Top 100 DJs list put out by the DJ Magazine.

Music career

Quintino explored a wide variety of artists and music, before he got behind the turntables. Once he finished school <a href=""https://www.last.fm/music/Quintino"">Read more on Last.fm</a>",209593,1599806,BlasterJaxx
Breach,"More than one artist exists by the name of Breach:

1. A punk band from Sweden.

2. An electronic music producer from Bristol, UK.


1. Noisy and furious somewhere between the tribal angst-filled sound of NEUROSIS and TORTOISE. Luleå, Sweden 1993: The local punkband Superdong split up. A lot of people couldn't care less. Now we know better. One half of Superdong quickly forms Fireside, and the other half becomes Breach.

Luleå turns out to be a <a href=""https://www.last.fm/music/Breach"">Read more on Last.fm</a>",138916,1571212,Knut
Sammy Porter,"Sammy is a renowned international DJ & producer who holds residencies in London, Marbella, Ibiza, Monaco & Dubai’s most elite venues.

His genre bending style has allowed him to gain a following from various musical tastes, making him no stranger to super club pool parties, intimate VIP member’s venues or large underground warehouse events.

Sammy’s iTunes podcast reaches a subscriber list of 36k, his smartphone app boasts 12k installs, plus mixes & productions total plays in their millions, his online presence is one to be recognized <a href=""https://www.last.fm/music/Sammy+Porter"">Read more on Last.fm</a>",33735,157221,Low Steppa
PBH & JACK," <a href=""https://www.last.fm/music/PBH+&+JACK"">Read more on Last.fm</a>",43972,245134,no data
COEO,"German duo Coeo have been making waves recently on the underground House scene. With releases on esteemed labels such as Sccucci Manucci, Toy Tonics, Let's Play House, Seven Music or Dabit Records they are an act to watch over 2014! 

The DJ and production duo consists of Florian Vietz and Andreas Höpfl, 2 guys, who met during high school and shared a mutual love for hip hop and soul music. Some years later they fell in love with house music and spent more and more nights in their studio in Munich to write their own songs. <a href=""https://www.last.fm/music/COEO"">Read more on Last.fm</a>",98654,750511,Crazy P
Lane 8,"San Francisco-based house producer Lane 8 (real name: Daniel Goldstein) made quite a splash when The Magician played his debut single, “Don’t Want You Back”, in the 23rd installment of the wildly popular Magic Tape series. The follow-up single, titled ‘Dusty’, surpassed all expectations, racking up diverse DJ support from the UK’s Jody Wisternoff and Kidnap Kid to California’s Viceroy and Geisha Twins. From there, a 3-track EP, reworks of Fleetwood Mac and Brandy <a href=""https://www.last.fm/music/Lane+8"">Read more on Last.fm</a>",325341,7448943,Le Youth
Eli Brown,"Eli Brown has rapidly established himself as an artist of real distinction in the house world, with his records making an immediate impact upon a flurry of the industry’s biggest names. Having grown up in Bristol, Eli Brown was exposed to a rich array of different musical influences from Jungle to Rave music, form Drum n’ Bass to House. Bristol’s musical heritage has helped define Eli Brown’s sound in an overcrowded House Music scene where he stands out from the rest. <a href=""https://www.last.fm/music/Eli+Brown"">Read more on Last.fm</a>",179822,1668578,Lilly Palmer
Sébastien Léger,"The son of two professional musicians, for 10 years Sébastien attended the academy of music learning technique and musical theory on piano and drums. Soon he began visiting record stores, where he was introduced to a new world of sounds and styles. What he liked most was what he heard from the likes of Daft Punk and other dance electronic music pioneers, and before long he stepped behind the turntables. In 1998 he started creating his own productions <a href=""https://www.last.fm/music/+noredirect/S%C3%A9bastien+L%C3%A9ger"">Read more on Last.fm</a>",71839,398970,Roy RosenfelD
Nelski," <a href=""https://www.last.fm/music/Nelski"">Read more on Last.fm</a>",2719,8209,MR BLINK
Alex Mills,"Emerging British Singer/Songwriter, Alex Mills has been singing from the tender age of eight and has an extremely unique vocal style. She cites influence from Etta James, Ray Charles and Chaka Chan. She has worked with urban all stars Roll Deep and prolific House Music producers the Audiowhores and coming underground labels such as Berwick St.Records, Osiris and Blowineast.

 Alex has just completed her album and is signed to the independent record label Brownpunk (owned by Island Records impresario Chris Blackwell and Tricky). <a href=""https://www.last.fm/music/Alex+Mills"">Read more on Last.fm</a>",26516,100414,Mike Mago
